@id,name,addr:street,addr:city,website,phone,amenity,building,municipality,addr:place,addr:town,@lat,@lon
2459795783,,,,,,library,,,,,41.9397754,21.5127868
2459903989,,,,,,,,,,,41.1123279,20.8081268
2459903990,,,,,,,,,,,41.1125537,20.8072182
2459903991,,,,,,,,,,,41.1133413,20.8075895
2459903992,,,,,,,,,,,41.1131695,20.8077556
2459903993,,,,,,,,,,,41.1126960,20.8081627
2459903994,,,,,,,,,,,41.1125218,20.8082538
2459903995,,,,,,,,,,,41.1124384,20.8082538
2459903996,,,,,,,,,,,41.1123917,20.8082571
2459903997,,,,,,,,,,,41.1123966,20.8082115
2459903998,,,,,,,,,,,41.1123795,20.8081692
2459903999,,,,,,,,,,,41.1123598,20.8081399
2467545258,,,,,,,,,,,41.2777873,21.3657822
2472154321,Државен архив на Северна Македонија,,,,,library,,,,,41.9968185,21.4343486
2473475799,,,,,,,,,,,41.0891832,21.0163515
2473475807,,,,,,,,,,,41.0899756,21.0161852
2473475815,,,,,,,,,,,41.0897674,21.0150747
2473475863,,,,,,,,,,,41.0892863,21.0152866
2473475880,,,,,,,,,,,41.0895713,21.0162495
2473475892,,,,,,,,,,,41.0894338,21.0150211
2473475894,,,,,,,,,,,41.0903395,21.0160564
2473475973,,,,,,,,,,,41.0890902,21.0153108
2473475978,,,,,,,,,,,41.0902424,21.0150774
2473475984,,,,,,,,,,,41.0900524,21.0150264
2473475998,,,,,,,,,,,41.0892276,21.0150211
2480946533,,,,,,,,,,,41.2654363,21.2745625
2480946534,,,,,,,,,,,41.2654363,21.2746950
2480946535,,,,,,,,,,,41.2652603,21.2748768
2480946536,,,,,,,,,,,41.2651746,21.2749631
2480946537,,,,,,,,,,,41.2650959,21.2751541
2480946538,,,,,,,,,,,41.2651191,21.2752157
2480946539,,,,,,,,,,,41.2650913,21.2752588
2480946540,,,,,,,,,,,41.2651469,21.2753081
2480946541,,,,,,,,,,,41.2651902,21.2753172
2480946542,,,,,,,,,,,41.2652256,21.2753656
2480946543,,,,,,,,,,,41.2652511,21.2753327
2480946544,,,,,,,,,,,41.2653460,21.2754345
2480946545,,,,,,,,,,,41.2654618,21.2755331
2480946546,,,,,,,,,,,41.2657397,21.2756933
2480946547,,,,,,,,,,,41.2658532,21.2754930
2480946548,,,,,,,,,,,41.2659945,21.2753112
2480946549,,,,,,,,,,,41.2660501,21.2752619
2480946550,,,,,,,,,,,41.2659783,21.2750986
2480946551,,,,,,,,,,,41.2659389,21.2748552
2480946552,,,,,,,,,,,41.2657837,21.2746889
2480946553,,,,,,,,,,,41.2657527,21.2746425
2480946554,,,,,,,,,,,41.2657004,21.2745964
2480950072,,,,,,,,,,,41.2655690,21.2752395
2480950074,,,,,,,,,,,41.2654996,21.2754663
2480950076,,,,,,,,,,,41.2656597,21.2755530
2480950077,,,,,,,,,,,41.2656998,21.2754222
2480950079,,,,,,,,,,,41.2656379,21.2753886
2480950081,,,,,,,,,,,41.2656672,21.2752927
2483405278,,,,,,,,,,,41.2485733,21.3950987
2483405279,,,,,,,,,,,41.2484389,21.3950914
2483405280,,,,,,,,,,,41.2483818,21.3950514
2483411801,,,,,,,,,,,41.2369994,21.4061388
2483411802,,,,,,,,,,,41.2370841,21.4059725
2483411805,,,,,,,,,,,41.2373211,21.4065724
2483411806,,,,,,,,,,,41.2375814,21.4064627
2483419512,,,,,,,,,,,41.2488676,21.3952022
2487753196,,,,,,,,,,,42.0061193,20.9664740
2487753206,,,,,,,,,,,42.0062167,20.9663370
2487753219,,,,,,,,,,,42.0061312,20.9662268
2487753240,,,,,,,,,,,42.0060337,20.9663637
2487777858,,,,,,,,,,,42.0073230,20.9649902
2487777859,,,,,,,,,,,42.0070871,20.9652328
2487777860,,,,,,,,,,,42.0061385,20.9643746
2487777861,,,,,,,,,,,42.0061849,20.9655189
2487777863,,,,,,,,,,,42.0062680,20.9642317
2487777866,,,,,,,,,,,42.0076765,20.9656935
2487777867,,,,,,,,,,,42.0074286,20.9651433
2487777868,,,,,,,,,,,42.0064534,20.9649057
2487777870,,,,,,,,,,,42.0062381,20.9642244
2487777873,,,,,,,,,,,42.0062970,20.9642868
2487777874,,,,,,,,,,,42.0079067,20.9653172
2487777875,,,,,,,,,,,42.0068745,20.9646927
2487777876,,,,,,,,,,,42.0063657,20.9650344
2487777878,,,,,,,,,,,42.0060733,20.9655135
2487777879,,,,,,,,,,,42.0060308,20.9644980
2487777881,,,,,,,,,,,42.0068227,20.9645854
2487777885,,,,,,,,,,,42.0074445,20.9659158
2487777889,,,,,,,,,,,42.0069622,20.9644031
2487777894,,,,,,,,,,,42.0060986,20.9654261
2487777895,,,,,,,,,,,42.0067643,20.9646697
2487777897,,,,,,,,,,,42.0065809,20.9649862
2487777898,,,,,,,,,,,42.0065490,20.9647770
2487777899,,,,,,,,,,,42.0065012,20.9646858
