Dimkata Angelov - Gaberot,Кавадарци,Braka Hadzi-Tefovi,school,,,41.432059,22.014088
Библиотека Феткин,Кавадарци,7ми Септември,library,,,41.434008,22.012436
Факултет за туризам и угостителство,Охрид,Партизанска,university,,,41.107898,20.808735
Григор Прличев,Охрид,Булевар Туристичка,school,,,41.113810,20.805933
Централна детска градинка,Охрид,Димитар Влахов,school,,,41.113318,20.805710
Gradska Biblioteka,Крива Паланка,Свети Јоаким Осоговски,library,,,42.205572,22.336156
Партизан,Крива Паланка,Свети Јоаким Осоговски,school,,,42.205746,22.335627
Бели Мурги,Скопје,Ацо Караманов,school,,,41.988065,21.415838
ООУ „Дедо Илјо Малешевски“,Берово,Маршал Тито,school,,,41.708357,22.855730
Детска градинка „23 Август“,Берово,Задарска,kindergarten,,,41.705980,22.853800
ЦСО Нико Нестор,Струга,Пролетерски Бригади,school,,,41.182665,20.675503
ОСЕУ '8-ми Септември',Тетово,Љубо Момировски,school,,,42.010132,20.980065
ООУ „Свети Климент Охридски“ - Бутел,Скопје,Рамно,school,,https://www.facebook.com/klimentohridskibutel,42.040188,21.445394
Музичко-балетско училиште „Илија Николовски - Луј“,Скопје,Плоштад 'Карпошово Востание',school,,,41.998364,21.435562
Партенија Зографски,Скопје,Дичо Петров,school,,,41.982566,21.436302
O.U Goce Delcev,Ресен,29. Ноември,school,,,41.089729,21.016279
о.у. 'Гоце Делчев',Илинден,Улица 9,school,,,41.993054,21.581798
Gafurr Luma,Qafëshqipja,Osman Luma,school,,,42.166797,21.188230
Hristo Uzunov,Охрид,Марко Нестороски,school,,,41.119675,20.811735
Skolata Smojmirovo,Смојмирово,R1302,school,,,41.735554,22.844057
Славчо Стоименски,Виница,Бел Камен,school,,,41.883551,22.503900
Гоце Длчев,Виница,Бел Камен,kindergarten,,,41.884110,22.505424
City Library,Виница,Ангел Винички,library,,,41.884070,22.504737
Градинка Мирче Ацев,Скопје,Арсо Мицков,kindergarten,,,42.018371,21.355867
Игротека Робин Худ,Скопје,Дичо Петров,kindergarten,,,41.982494,21.435779
Дом за Слепи,Скопје,Георги Димитров,school,,,41.975769,21.441196
ОУ Кочо Рацин Охрид,Охрид,Радојица Новичиќ,school,,,41.135855,20.810268
